cvss_score,number_of_cves
0.0,25
0.5,1
1.0,26
1.1,3
1.2,5
1.3,8
1.6,6
1.7,12
1.8,43
1.9,34
2.0,151
2.1,102
2.2,90
2.3,215
2.4,272
2.5,178
2.6,138
2.7,323
2.8,85
2.9,126
3.0,62
3.1,437
3.2,62
3.3,1108
3.4,100
3.5,1366
3.6,57
3.7,547
3.8,226
3.9,146
4.0,639
4.1,328
4.2,392
4.3,5916
4.4,1087
4.5,158
4.6,662
4.7,1089
4.8,1998
4.9,1215
5.0,515
5.1,1403
5.2,208
5.3,7675
5.4,5525
5.5,5069
5.6,284
5.7,566
5.8,483
5.9,2689
6.0,548
6.1,4012
6.2,750
6.3,2588
6.4,2831
6.5,8488
6.6,541
6.7,1380
6.8,1513
6.9,2491
7.0,829
7.1,4275
7.2,2407
7.3,1677
7.4,795
7.5,8278
7.6,835
7.7,780
7.8,8548
7.9,130
8.0,884
8.1,2151
8.2,1303
8.3,602
8.4,1152
8.5,774
8.6,1238
8.7,1290
8.8,6940
8.9,129
9.0,430
9.1,1521
9.2,81
9.3,886
9.4,289
9.5,30
9.6,512
9.7,46
9.8,7157
9.9,563
10.0,1046
